Comments,Cleaned_Comments,Translated_Comments,Fully_Cleaned_Comments,Sentiment
Thookam varama video pakkum rasigar,thookam varama video pakkum rasigar,Thoookam Varama Video Offer Raigar,Thoookam Varama Video Offer Raigar,Neutral
Last  dialogue  👌👌👌   😅,last dialogue,Last dialogue,Last dialogue,Neutral
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=359"">5:59</a> work from home 😅😅",a href work from home,a href work from home,a href work from home,Neutral
இதுவரை வாழ்க்கைல<br>தியேட்டர்ல போய் தூங்குன படம் எதுனா இந்த புஸ்பா படம் தான் 🤣😆,இதவர வழககலbrதயடடரல பய தஙகன படம எதன இநத பஸப படம தன,This is a picture of the film.,This is a picture of the film,Neutral
At 4.15 am 😢😮😅😊,at am,and am,and am,Neutral
Morning wakeup gang assemble 😅,morning wakeup gang assemble,morning wakeup gang assemble,morning wakeup gang assemble,Neutral
Enangada nyt 3 maniku video potalum 27k pathu vachrkinga 😂😂😂,enangada nyt maniku video potalum k pathu vachrkinga,enaada nyt maniku video potalum k pathu vachrkinga,enaada nyt maniku video potalum k pathu vachrkinga,Neutral
Fahad Fasil’s acting is amazing!,fahad fasils acting is amazing,fahad fasils acting is amazing,fahad fasils acting is amazing,Positive
Second half full of Over paasam <br>Literally like a serial drama <br>Wild MYR 💣💣💣💣,second half full of over paasam brliterally like a serial drama brwild myr,second half full of over paasam brliterally like a serial drama brwild myr,second half full of over paasam brliterally like a serial drama brwild myr,Positive
Yeppovumay ego clash dhaan periya prachanaiku valivagukum,yeppovumay ego clash dhaan periya prachanaiku valivagukum,yeppovumay ego clash dhaan perrya prachanaiku valivagukum,yeppovumay ego clash dhaan perrya prachanaiku valivagukum,Neutral
ஏன் இதை பார்க்கணும்னு சொன்ன பாத்தியா அங்கதான் நீ நிக்கிற😂😂😂😂,ஏன இத பரககணமன சனன பததய அஙகதன ந நககற,Other Paragraphs,Other Paragraphs,Negative
"யாரெல்லாம் யாரெல்லாம் யாரெல்லாம் .... ஒரு தடம் ,ரெண்டு தடம் , மூணு தடம்.. 😡😡😡",யரலலம யரலலம யரலலம ஒர தடம ரணட தடம மண தடம,Yaralama Yaralalama Yaralalama,Yaralama Yaralalama Yaralalama,Neutral
புஷ்பா புருஷன்  சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள். 😊,பஷப பரஷன சரபக படம வறற பற வழததககள,Pashabha Parashana Sarabhaka Image,Pashabha Parashana Sarabhaka Image,Neutral
Super ❤️🎉,super,super,super,Positive
2.35 from omam,from omam,From Omam,From Omam,Neutral
Thaangi thaangi side😂😂😂,thaangi thaangi side,thaangi thaangi side,thaangi thaangi side,Neutral
Ipodhan pathutu varen adhukula un video newsfeed la iruke da 🫣,ipodhan pathutu varen adhukula un video newsfeed la iruke da,Ipodhan Pathutu Varen Adhukula Un Video Newsfeed La Iruke Da,Ipodhan Pathutu Varen Adhukula Un Video Newsfeed La Iruke Da,Neutral
Heroine mind voice : Appadaa nalla vellai nammalaa marunthutaan 🤣🤣,heroine mind voice appadaa nalla vellai nammalaa marunthutaan,Herine Mind Voice Appada Nalla Vellai Nammaa Marunthuta,Herine Mind Voice Appada Nalla Vellai Nammaa Marunthuta,Neutral
போர் அடிக்காம ஓடுதா அப்ப இந்த படம் பார்க்கலாம்,பர அடககம ஓடத அபப இநத படம பரககலம,Paragamama Oda Apapa,Paragamama Oda Apapa,Neutral
ப்ளூ சட்டை இந்த படத்தை சரியா முதலிருந்து பார்த்தியா. அந்த ஜப்பான் கதை புஷ்பாவிற்கும் வரும் கனவு. நீங்களும் தூங்கிவிட்டு கனவில் படம் பார்த்தீங்களா?,பள சடட இநத படதத சரய மதலரநத பரததய அநத ஜபபன கத பஷபவறகம வரம கனவ நஙகளம தஙகவடட கனவல படம பரததஙகள,This is the best way to do this.,This is the best way to do this,Positive
😂,,,,Neutral
யோவ் நீ என்னய நடுராத்திரில வீடியோ போடுற,யவ ந எனனய நடரததரல வடய படற,Yava Nayanaya Nadaradharala Vadaya Padara,Yava Nayanaya Nadaradharala Vadaya Padara,Neutral
மணி 3.30....ஒழுங்காக கக்கூசு குட போகாமல் revive பார்க்கும் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 😅😂😅😂😅,மண ஒழஙகக கககச கட பகமல revive பரககம ரசகரகள சரபக படம வறற பற வழததககள,Revive Paragama,Revive Paragama,Neutral
கடவுளே அஜித்தே 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️love from Dubai job informer 🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪,கடவள அஜதத love from dubai job informer,கடவள அஜதத Love from Dubai Job Inform,Love from Dubai Job Inform,Positive
கடவுளே அஜித்தே 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️love from Dubai job informer 🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪,கடவள அஜதத love from dubai job informer,கடவள அஜதத Love from Dubai Job Inform,Love from Dubai Job Inform,Positive
கடவுளே அஜித்தே 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️love from Dubai job informer 🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪,கடவள அஜதத love from dubai job informer,கடவள அஜதத Love from Dubai Job Inform,Love from Dubai Job Inform,Positive
Poda mentol,poda mentol,gives menthol,gives menthol,Neutral
வணக்கம் டா மாப்ள srilanka la irunthu (time=3.48),வணககம ட மபள srilanka la irunthu time,வணககம மபள மபள srilanka la irinthu time,srilanka la irinthu time,Neutral
KADAVULE AJITHE 🔥 கடவுளே  அஜித்தே! ❤,kadavule ajithe கடவள அஜதத,Kadavule ajithe கடவள அஜதத,Kadavule ajithe,Neutral
Ivan kedakuran sunni..padam super family entertainment 🎉,ivan kedakuran sunnipadam super family entertainment,Ivan Sunnipadam Super Family Entertainment,Ivan Sunnipadam Super Family Entertainment,Positive
Last dialogue super 😂😂😂,last dialogue super,Last dialogue super,Last dialogue super,Positive
"Kothi movan start time <a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=61"">1:01</a>",kothi movan start time a href,Kothi Movan Start Time A Href,Kothi Movan Start Time A Href,Neutral
பாவம் இவர் என்ன சொல்றதுன்னு குழம்பிப் போட்டாரு கடைசில ப்ளூ சட்டை மாறன் ... நல்லா இருக்கு ஆனா நல்லா இல்ல 😂😂😂,பவம இவர எனன சலறதனன கழமபப படடர கடசல பள சடட மறன நலல இரகக ஆன நலல இலல,Pavama is not the only person who has been able to get a good health care.,Pavama is not the only person who has been able to get a good health care,Positive
"Intha mansan blue sattaya, namba mudiyalaye iwalw positive solla matare",intha mansan blue sattaya namba mudiyalaye iwalw positive solla matare,intha saban blue sattaya namba mudiyalaye iwalw positive solla matare,intha saban blue sattaya namba mudiyalaye iwalw positive solla matare,Positive
In telugu version - japanese speaks in Japanese only sir. <br>Also introduction scene will have connection in next part..,in telugu version japanese speaks in japanese only sir bralso introduction scene will have connection in next part,in telugu version japanese speaks in japanese only sir bralso introduction scene will have connection in next part,in telugu version japanese speaks in japanese only sir bralso introduction scene will have connection in next part,Neutral
Kadavuleyyy Ajitheyyy..,kadavuleyyy ajitheyyy,kadavuleyy ajitheyyy,kadavuleyy ajitheyyy,Neutral
Pachai Sattai Maaran<br>Pachai poi Maaran,pachai sattai maaranbrpachai poi maaran,Pachai Sattai Maaranbrpachai Poi Maaran,Pachai Sattai Maaranbrpachai Poi Maaran,Neutral
AA FF fans assemble,aa ff fans assemble,aa ff fans assemble,aa ff fans assemble,Neutral
Blue sattai is Batman 😂😂😂,blue sattai is batman,Blue Sattai Is Batman,Blue Sattai Is Batman,Neutral
Blue sattai video va YouTube recommend pannala nenachan videovae ippathaan publish aairukku 😊,blue sattai video va youtube recommend pannala nenachan videovae ippathaan publish aairukku,Blue Sattai Video Va YouTube Recommnend Pannala Nenachan Videovae ipathain Publish Aiir,Blue Sattai Video Va YouTube Recommnend Pannala Nenachan Videovae ipathain Publish Aiir,Neutral
"1st half super, 2nd half telugu masala cringe 😢😢😢 (Overall not must watch movie) . Just an average film. From malaysia",st half super nd half telugu masala cringe overall not must watch movie just an average film from malaysia,st half super nd half telugu masala cringe overall not must watch movie just an average film from malaysia,st half super nd half telugu masala cringe overall not must watch movie just an average film from malaysia,Negative
இது அதவிட மசாலா 😂 <br>நீ சாதாரன ஆழ் இல்லயா (blues sathtai)மாரன்,இத அதவட மசல brந சதரன ஆழ இலலய blues sathtaiமரன,This is the most common blues saathtai marana,This is the most common blues saathtai marana,Positive
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=362"">6:02</a> 😅",a href,and href,and href,Neutral
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=322"">5:22</a> 😂",a href,and href,and href,Neutral
Honest review 💯,honest review,honest review,honest review,Positive
"There was a time that many people don&#39;t follow his channel. I use to wait for his video and lol.<br>Till now his reviews very educate that makes us to celebrate good movies more to be selective with movies. We are exiting the thrill of heroism. There were once audience complains puriyaathe cinema but today they celebrates it. After KH thanks to TT Maran.<br><br>BTW all the other popular cinema channels created to dilute viewers from TT.<br>Even that has been a clarity to viewers.<br><br>Selective BR<br>FDF review CB<br>Few other unpopular reviewers, we still wait for TT Maran.<br><br>Let&#39;s call him TTM instead of Blue sattai Maaran.",there was a time that many people dont follow his channel i use to wait for his video and lolbrtill now his reviews very educate that makes us to celebrate good movies more to be selective with movies we are exiting the thrill of heroism there were once audience complains puriyaathe cinema but today they celebrates it after kh thanks to tt maranbrbrbtw all the other popular cinema channels created to dilute viewers from ttbreven that has been a clarity to viewersbrbrselective brbrfdf review cbbrfew other unpopular reviewers we still wait for tt maranbrbrlets call him ttm instead of blue sattai maaran,there was a time that many people dont follow his channel i use to wait for his video and lolbrtill now his reviews very educate that makes us to celebrate good movies more to be selective with movies we are exiting the thrill of heroism there were once audience complains puriyaathe cinema but today they celebrates it after kh thanks to tt maranbrbrbtw all the other popular cinema channels created to dilute viewers from ttbreven that has been a clarity to viewersbrbrselective brbrfdf review cbbrfew other unpopular reviewers we still wait for tt maranbrbrlets call him ttm instead of blue sattai maaran,there was a time that many people dont follow his channel i use to wait for his video and lolbrtill now his reviews very educate that makes us to celebrate good movies more to be selective with movies we are exiting the thrill of heroism there were once audience complains puriyaathe cinema but today they celebrates it after kh thanks to tt maranbrbrbtw all the other popular cinema channels created to dilute viewers from ttbreven that has been a clarity to viewersbrbrselective brbrfdf review cbbrfew other unpopular reviewers we still wait for tt maranbrbrlets call him ttm instead of blue sattai maaran,Positive
Mass movie pushpa 2,mass movie pushpa,Mass Movie Pushpa,Mass Movie Pushpa,Neutral
Sri Lanka here,sri lanka here,Sri Lanka Here,Sri Lanka Here,Neutral
புஷ்பா&#39;னா 🌺👎🏻... 🌎🔥💯,பஷபன,Passenger,Passenger,Neutral
இப்படி ஒரு படத்தை தரங்கெட்ட படத்தை நான் பார்த்ததே கிடையாது சில இடங்கள்ல பாக்குற மாதிரி இருந்தாலும் நிறைய இடங்களை தூங்குற மாதிரி தான் இருக்கு  மத்த படத்த கம்பேர் பண்ணும் போது இந்த படம் அவ்ளோ வேஸ்ட் 😅😂😂,இபபட ஒர படதத தரஙகடட படதத நன பரததத கடயத சல இடஙகளல பககற மதர இரநதலம நறய இடஙகள தஙகற மதர தன இரகக மதத படதத கமபர பணணம பத இநத படம அவள வஸட,This is one of the most important things that can be done in the country.,This is one of the most important things that can be done in the country,Positive
IPPA THAN PADAM PATHEN. 1ST HALF 🔥...2ND HALF LAG UNWANTED FIGHT SCENES. ALLU ARJUN ACTING VERA LEVEL 🔥DANCE STEP CHOREOGRAPHY COMEDY 🤣🤣🤣 LEAD PART 3 RAMPAGE ❤,ippa than padam pathen st half nd half lag unwanted fight scenes allu arjun acting vera level dance step choreography comedy lead part rampage,ippa than padam pathen st half nd half lag unwanted fight scenes allu arjun acting vera level dance step choreography comedy lead part rampage,ippa than padam pathen st half nd half lag unwanted fight scenes allu arjun acting vera level dance step choreography comedy lead part rampage,Negative
"More than Pushpa 2, was waiting for his review 😂😂",more than pushpa was waiting for his review,more than pushpa was waiting for his review,more than pushpa was waiting for his review,Positive
Bakvas movie,bakvas movie,Bakvie Movie,Bakvie Movie,Neutral
Vaa arunchalam nee varuvanu theriyum 😂unakku tha waiting 😅,vaa arunchalam nee varuvanu theriyum unakku tha waiting,VAA arunchalam nee a vowel aeyum unakku tha Waiting,VAA arunchalam nee a vowel aeyum unakku tha Waiting,Neutral
புஷ்பா ஒன்னே எதுக்கு ஓடுச்சின்னு தெரியல. 😂😂😂,பஷப ஒனன எதகக ஓடசசனன தரயல,Pashabha Onala,Pashabha Onala,Neutral
Pora ko Akkaporaa...<br>Vera Level...,pora ko akkaporaabrvera level,Pore ​​When Akkkoroabrvera Level,Pore When Akkkoroabrvera Level,Neutral
புஷ்பா புருஷன் சார்பாக வாழ்த்துகள்!,பஷப பரஷன சரபக வழததகள,Pashabha Parashana Sarabhaka,Pashabha Parashana Sarabhaka,Neutral
Ippo than thiruttu vcd paarthu vantha bluesattai ku salaam 😅😅😅,ippo than thiruttu vcd paarthu vantha bluesattai ku salaam,IPPO Than Thiruttu vcd Paarthu vantha blues ray,IPPO Than Thiruttu vcd Paarthu vantha blues ray,Neutral
😮இன்னும் இவ வரலயே நெனச்ச வந்துட்டான்....🙏🙏🙏🙏,இனனம இவ வரலய நனசச வநதடடன,These are the most important things,These are the most important things,Positive
கங்குவா சார்பாக வெற்றி பெற வாழ்த்துக்கள் இப்படிக்கு DSB,கஙகவ சரபக வறற பற வழததககள இபபடகக dsb,Dsb of the Dry Flower Drainage,Dsb of the Dry Flower Drainage,Negative
😂😂😂,,,,Neutral
🐢குமாரின் கேடு கெட்ட ரசிகர்கள் சார்பில் வாழ்த்துக்கள் 🎉,கமரன கட கடட ரசகரகள சரபல வழததககள,Camera Shop,Camera Shop,Neutral
😅😅😅,,,,Neutral
படம் நல்லா இருக்கு action family entertainment..hero acting super.whole movie gd experience.. theatrical movie,படம நலல இரகக action family entertainmenthero acting superwhole movie gd experience theatrical movie,படம நலல இரகக action family entertainmenthero acting superwhole movie gd experience theatrical movie,action family entertainmenthero acting superwhole movie gd experience theatrical movie,Positive
2 am review,am review,am review,am review,Neutral
Ur are the boss sir,ur are the boss sir,ur are the boss sir,ur are the boss sir,Neutral
Yow😂,yow,yow,yow,Neutral
Sir we respect you review from Bangalore,sir we respect you review from bangalore,sir we respect you review from bangalore,sir we respect you review from bangalore,Neutral
Endha tharkiri vera eppadi padam edakkanum,endha tharkiri vera eppadi padam edakkanum,Endha Thangkiri Vera Eppadi Edanum Edanum,Endha Thangkiri Vera Eppadi Edanum Edanum,Neutral
நடுராத்திரி வீடியோ பார்க்கும் ரசிகர்கள் சார்பாக புஷ்பா டு வெற்றி பெற வாழ்த்துக்கள்,நடரததர வடய பரககம ரசகரகள சரபக பஷப ட வறற பற வழததககள,Natarathura North Paragamma Sarabhaka Pashaka,Natarathura North Paragamma Sarabhaka Pashaka,Neutral
Typical Golute movie.! worst,typical golute movie worst,typical golute movie worst,typical golute movie worst,Negative
movie got over after faahad fazil left,movie got over after faahad fazil left,Movie Got Over AFTER FAAAD FAZIL LEFT,Movie Got Over AFTER FAAAD FAZIL LEFT,Neutral
Sir ur the best,sir ur the best,sir ur the best,sir ur the best,Positive
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=194"">3:14</a> semma",a href semma,a href semma,a href semma,Neutral
Va thalaiva Va thalaiva 😂😂,va thalaiva va thalaiva,va thalaiva va thalaiva,va thalaiva va thalaiva,Neutral
Love u sir from Bangalore,love u sir from bangalore,Love u sir from bangalore,Love u sir from bangalore,Positive
Admk kaaran ah da nee . <br>Nee blue🔵 satta illada naaiyae 🟢green satta😅,admk kaaran ah da nee brnee blue satta illada naaiyae green satta,Admk Karan's Day Bylee Blue Satta eye Nauyae Green Satta,Admk Karans Day Bylee Blue Satta eye Nauyae Green Satta,Negative
"Ithu padatha kandipa ban pannano illana kodari thukith kalbidh vanga,villain kolla paradh onutha ithu padathla vara hero onutha",ithu padatha kandipa ban pannano illana kodari thukith kalbidh vangavillain kolla paradh onutha ithu padathla vara hero onutha,ITHU SECONDHA Kandipa Ban Pannano Illana Kodari Thukith Kalbidh Vangavillain Kolla Paradh Onutha Ithu Solid Vara Hero Onutha,ITHU SECONDHA Kandipa Ban Pannano Illana Kodari Thukith Kalbidh Vangavillain Kolla Paradh Onutha Ithu Solid Vara Hero Onutha,Neutral
waste of money no go movie 3.5/10,waste of money no go movie,waste of money no go movie,waste of money no go movie,Negative
Mokka 🌼 movie,mokka movie,Mokka Movie,Mokka Movie,Neutral
Poda potta,poda potta,gives the potta,gives the potta,Neutral
Nd the time now is 3:07 am!!,nd the time now is am,nd the time now is am,nd the time now is am,Neutral
Ipo night show than pathan.. Konjam kuda thugam varala..,ipo night show than pathan konjam kuda thugam varala,IPO NIGHT SHOW THAN PATHAN KONJAM KUDA THUGAM VARALA,IPO NIGHT SHOW THAN PATHAN KONJAM KUDA THUGAM VARALA,Neutral
Blue sattai petti kadai review.,blue sattai petti kadai review,Blue Sattai cheated on kadai Review,Blue Sattai cheated on kadai Review,Neutral
"Padam nalla iruku... Na maximum blue sattai review pathu than padam papan... Bt intha movie ok than family ah pakkalam... Nalla commercial film than. Song, comedy, sentiment apdinu...",padam nalla iruku na maximum blue sattai review pathu than padam papan bt intha movie ok than family ah pakkalam nalla commercial film than song comedy sentiment apdinu,extinguished nalla iruku na maximum blue cie view pathu than bt board bt intha movie ok than family ah pakkalam nalla commercial film than songs comedy sentiment apesu,extinguished nalla iruku na maximum blue cie view pathu than bt board bt intha movie ok than family ah pakkalam nalla commercial film than songs comedy sentiment apesu,Positive
AA Padatha mudhugula thaangi thaangi<br><br>Romba Side waangitaaru🤣😂<br><br><br>Saami <br><br>yaaru saami nee😂😂,aa padatha mudhugula thaangi thaangibrbrromba side waangitaarubrbrbrsaami brbryaaru saami nee,AA PADATHA MUKI Thagi Thagi Thagi Thangibromba Sideburbromba SideBrostamiy BRbrewaruu,AA PADATHA MUKI Thagi Thagi Thagi Thangibromba Sideburbromba SideBrostamiy BRbrewaruu,Neutral
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=359"">5:59</a> WFH 😂😂😂<br>IT employees thakkapattargal",a href wfh brit employees thakkapattargal,a href wfh brit employees thakkapattargal,a href wfh brit employees thakkapattargal,Neutral
Blue sattai fan from United Kingdom 😍😍🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧,blue sattai fan from united kingdom,Blue Sattai Fan from United Kingdom,Blue Sattai Fan from United Kingdom,Neutral
Blue Thala vanthachu,blue thala vanthachu,blue thala vanthachu,blue thala vanthachu,Neutral
"Moththila padam ipadi iruku at <a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=384"">6:24</a>",moththila padam ipadi iruku at a href,Moththila goes out of ipadi iruku at a href,Moththila goes out of ipadi iruku at a href,Neutral
Ennada ucha poittu vanthu padukka pona nee video pottu vechirukka 😮,ennada ucha poittu vanthu padukka pona nee video pottu vechirukka,foreshadow ucha Pootetta vanthu Padukka pona nee video potta vechirukka,foreshadow ucha Pootetta vanthu Padukka pona nee video potta vechirukka,Neutral
Kadavuleyyyyyy ajitheyyyy ❤️💥🔥,kadavuleyyyyyy ajitheyyyy,kadavuleyyyyy ajitheyyyyyyyyyyyy,kadavuleyyyyy ajitheyyyyyyyyyyyy,Neutral
Vanthuchey peelings 😇,vanthuchey peelings,Vanthucheey Peelings,Vanthucheey Peelings,Neutral
Watching this at 3 am😢,watching this at am,watching this at am,watching this at am,Neutral
Cheap copy of KGF. Waste movie Pushpa 2 flop.,cheap copy of kgf waste movie pushpa flop,cheap copy of kgf waste movie pushpa flop,cheap copy of kgf waste movie pushpa flop,Positive
எல்லா வீடியோக்கு கீழயும் ஒரே கமென்ட் பண்ணும் தற்குறிகள் சங்கம் ஒன்னாகுங்க 😂😂😂,எலல வடயகக கழயம ஒர கமனட பணணம தறகறகள சஙகம ஒனனகஙக,The Northern Province of the Northern Province,The Northern Province of the Northern Province,Neutral
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=355"">05:55</a> Kanguva thakkapattar",a href kanguva thakkapattar,a href canvuuvuva thakkattar,a href canvuuvuva thakkattar,Neutral
Mokka padam,mokka padam,Mokka goes out,Mokka goes out,Neutral
FAFA FANS LIKE PANNUNGA,fafa fans like pannunga,FAFA FANS LIKE PANNUNGA,FAFA FANS LIKE PANNUNGA,Neutral
Tamil padatha asinga paduthinga,tamil padatha asinga paduthinga,Tamil Solid Foreign Paduthinga,Tamil Solid Foreign Paduthinga,Negative
2: 57😂,,,,Neutral
Kanguva better movie than Pushpa 2,kanguva better movie than pushpa,Kanguva Better Movie Than Pushpa,Kanguva Better Movie Than Pushpa,Positive
Telugu naiyigala !,telugu naiyigala,Teluu nauso,Teluu nauso,Neutral
Night தான் review pannuvar blue சட்டை 😂😂😂,night தன review pannuvar blue சடட,night தன review pannuvar blue சடட,night review pannuvar blue,Neutral
Night 2.30 maniku potrukan adha ve 7 k pakurainga yara neengalam😂,night maniku potrukan adha ve k pakurainga yara neengalam,Night Maniku Potrukan adha ve kakurainga yara neengalam,Night Maniku Potrukan adha ve kakurainga yara neengalam,Neutral
"Call YAS Tours - 954-954-5403<br>Facebook: <a href=""https://www.facebook.com/yastoursindia"">https://www.facebook.com/yastoursindia</a><br>Instagram: <a href=""https://www.instagram.com/yastoursindia/"">https://www.instagram.com/yastoursindia/</a><br>Youtube: <a href=""https://www.youtube.com/@yastoursindia"">https://www.youtube.com/@yastoursindia</a><br>X: <a href=""https://x.com/yastoursindia"">https://x.com/yastoursindia</a>",call yas tours brfacebook a href abrinstagram a href abryoutube a href abrx a href,call yas tours brfacebook a href abrinstagram a href abryoutube a href abrx a href,call yas tours brfacebook a href abrinstagram a href abryoutube a href abrx a href,Neutral
ஏன் தலைவா morning வீடியோ போட்ட உடன்  remove  பண்ணிட்டிங்க....,ஏன தலவ morning வடய படட உடன remove பணணடடஙக,Remove Morning North Immediate Remove,Remove Morning North Immediate Remove,Neutral
maran sir American citizen now America time evening 4.00 pm,maran sir american citizen now america time evening pm,maran sir american citizen now america time evening pm,maran sir american citizen now america time evening pm,Neutral
"என்னடா நல்லா போகுதேன்னு நெனச்ச 😂😂😂 <a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=386"">6:26</a> வேலைய காட்டிடார் நம்ம ஆளு 😅😅😅",எனனட நலல பகதனன நனசச a href வலய கடடடர நமம ஆள,A href website,A href website,Neutral
உங்களுக்கெல்லாம் தமிழ் படமே அதிகம் தாண்டா😅,உஙகளககலலம தமழ படம அதகம தணட,You can find a picture of you,You can find a picture of you,Neutral
ரகளை 😅😅😅😅😅,ரகள,Variety,Variety,Neutral
Pushkkku 😂😂😂😂,pushkkku,puff,puff,Neutral
Soudi Arabia la padam pathuta one time watchable..irundhalum thalaivan review pakaradhula oru kick iruku 😂😂😂,soudi arabia la padam pathuta one time watchableirundhalum thalaivan review pakaradhula oru kick iruku,Arabia la ladiced pathuta one time watchableirundhalum thalaivan review experts,Arabia la ladiced pathuta one time watchableirundhalum thalaivan review experts,Neutral
Part 2 ன்னு சொன்னாலே இளிச்சவாயன் தானே😢,part னன சனனல இளசசவயன தன,Part of the Part,Part of the Part,Neutral
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=334"">05:34</a> - இ‌ந்த மொத்த படத்தையும் ஹீரோ ஒரே ஆளே தன்னோட shoulder -ல  தாங்கி தாங்கி ரொம்ப side வாங்கி இருப்பாரு இ‌ந்த படத்துல நிச்சயமாக ஹீரோவ  பாராட்டியே ஆகணும்....😂😂😂<br>ULTIMATE 😅😅😂",a href இநத மதத படததயம ஹர ஒர ஆள தனனட shoulder ல தஙக தஙக ரமப side வஙக இரபபர இநத படததல நசசயமக ஹரவ பரடடய ஆகணமbrultimate,A href This is a religious image of a person who is one of the most popular people in the world.,A href This is a religious image of a person who is one of the most popular people in the world,Positive
Work from home greenmaten 🍏😂😂😂😂😂😂,work from home greenmaten,work from home greenmaten,work from home greenmaten,Neutral
யாரெல்லாம் ப்ளூ சட்டை தமிழ்நாட்டின் அடுத்த முதலமைச்சர் ஆக வேண்டும் என்று நினைக்கிறீர்கள்?,யரலலம பள சடட தமழநடடன அடதத மதலமசசர ஆக வணடம எனற நனககறரகள,It is not the best way to become a good manner,It is not the best way to become a good manner,Positive
Batman&#39;s assemble😂😂😂,batmans assemble,Batmans assembles,Batmans assembles,Neutral
"Wildfire ra, international ra, appudrra ippudraa😂😂😂",wildfire ra international ra appudrra ippudraa,wildfire ra international ra appudrra ippudraa,wildfire ra international ra appudrra ippudraa,Neutral
சப்புரியா‌ சப்புரியா 😂❤ <br>பாலய்யாவுக்கே tuff கொடுப்பான் போல Allu Arjun 😂🤣,சபபரய சபபரய brபலயயவகக tuff கடபபன பல allu arjun,TUFF TUFF TUBFANCE,TUFF TUFF TUBFANCE,Neutral
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=440"">7:20</a> நக்கல்யா உனக்கு சொல்ட்ரதுலா சொல்லிட்டு ஏன் பாக்கனும் சொல்ட்ர பாத்தியா 😂 லூசுப்பய 😅",a href நககலய உனகக சலடரதல சலலடட ஏன பககனம சலடர பததய லசபபய,A href Municipal Corporation,A href Municipal Corporation,Neutral
என்ன அம்மாவச wait பண்ணதுக்கு தரமான சம்பவம் 😂😂😂,எனன அமமவச wait பணணதகக தரமன சமபவம,WAIT WAIT CORPORATE STATEMENT,WAIT WAIT CORPORATE STATEMENT,Neutral
யாரு எல்லாம் புஷ்பா 1 இன்னும் பாக்கல 😂😢😢,யர எலலம பஷப இனனம பககல,Yara Elama Pashaba,Yara Elama Pashaba,Neutral
Full heroism movie after kgf,full heroism movie after kgf,Full Heroism Movie After KGF,Full Heroism Movie After KGF,Positive
Night shift gang ilaa  night la thukam varama irukura gangu😢,night shift gang ilaa night la thukam varama irukura gangu,night shift gang ilaa night la thukam varama irukura gangu,night shift gang ilaa night la thukam varama irukura gangu,Neutral
Flim mokka great review,flim mokka great review,Flim Mokka Great Review,Flim Mokka Great Review,Positive
Work from home 😂😂😂😂😂,work from home,work from home,work from home,Neutral
பேசனும்னே பேசுறாண்டா இவன் ! டேய் வெளக்குமாறு போய் ஒழிந்து போ!,பசனமன பசறணட இவன டய வளககமற பய ஒழநத ப,This is the case,This is the case,Neutral
Pushpa 1 wasted 🤦🤦 Pushpa 2 Utter waste 🤦🤦🤦🤦,pushpa wasted pushpa utter waste,pushpa wasted pushpa utter waste,pushpa wasted pushpa utter waste,Negative
Time 2:45am,time am,my am am,my am am,Neutral
Midnight reviewer blue sattai,midnight reviewer blue sattai,Midnight Reviewer Blue Sattai,Midnight Reviewer Blue Sattai,Neutral
பிட்டு படத்துல நடிக்கிற தேவிடியாக்கள் எல்லாம் கொண்டாந்து படத்துல நடிக்க விட்டு அசிங்கப்படுத்துறாங்க,படட படததல நடககற தவடயககள எலலம கணடநத படததல நடகக வடட அசஙகபபடததறஙக,Image Gallery,Image Gallery,Neutral
Vanamukumungoo time 2.43 Am,vanamukumungoo time am,An old -fashioned time am,An old fashioned time am,Positive
